Number,Name,Description
1,Mission Inn,"Beginning with the Mission Inn’s original Mission-style wing in 1903, owner Frank A. Miller transformed a modest family hotel into an extraordinary architectural complex over the next three decades. Architects Arthur B. Benton, Myron Hunt, G. Stanley Wilson and Peter J. Weber contributed to its successive additions, combining Mission Revival, Spanish, Mediterranean and other influences with art and architectural fragments collected from around the world. The Mission Inn is also a National Historic Landmark and one of Riverside’s defining historic places."
2,Riverside County Courthouse,"Completed in the early twentieth century as Riverside County’s first permanent courthouse, this monumental Beaux-Arts building was designed by architect Franklin P. Burnham. Its classically composed façade, Ionic columns and sculptural ornament were inspired by the Grand Palais built for the 1900 Paris Exposition. The courthouse reflects Riverside’s rapid growth and rising civic ambitions following the creation of Riverside County in 1893."
3,Universalist-Unitarian Church,"Built in 1891–92 for Riverside’s Universalist congregation, this picturesque Gothic Revival church was designed by architect A. C. Willard. Constructed of brick faced with red Arizona sandstone, it features a prominent corner tower, steeply pitched roofs and stained-glass windows recalling a medieval English parish church. It is one of downtown Riverside’s most distinctive surviving nineteenth-century religious buildings."
4,Magnolia Presbyterian Church,"Built in 1881 for the First Presbyterian Church of Arlington, this Gothic Revival church was designed and constructed by architect A. W. Boggs. Its simple form and pointed-arch detailing reflect the small agricultural community that developed around Arlington before its incorporation into Riverside. It is the oldest surviving church building in the city."
5,Catherine Bettner House (Heritage House),"Built in 1891–92 for Catherine Bettner, widow of citrus grower James Bettner, Heritage House is one of Riverside’s finest surviving Queen Anne residences. Designed by Los Angeles architect John A. Walls, the elaborate house reflects the prosperity generated by Riverside’s booming citrus industry during the late nineteenth century. Now operated by the Museum of Riverside, it preserves both the architecture and domestic setting of Riverside’s citrus-era elite."
6,First Congregational Church,"Designed by noted architect Myron Hunt and constructed in 1912–13, First Congregational Church is an important early expression of Spanish Colonial Revival architecture in California. Its massive masonry walls, arcades, exposed timber roof and richly ornamented Churrigueresque tower give the church a commanding presence at Mission Inn Avenue and Lemon Street. Dedicated in January 1914, it predates the widespread popularity of the style following the 1915 Panama-California Exposition."
7,"First Church of Christ, Scientist","Completed in 1900, the First Church of Christ, Scientist is one of architect Arthur B. Benton’s important early Riverside commissions and an influential example of the emerging Mission Revival style. Its use of mission-inspired forms helped establish an architectural vocabulary that would soon become closely identified with Riverside and Southern California. The building is also listed in the National Register of Historic Places."
8,Victoria Avenue,"Planned in 1892 as the principal boulevard through Matthew Gage’s Arlington Heights development, Victoria Avenue is one of Riverside’s most important historic cultural landscapes. Landscape designer Franz P. Hosp supervised its early planting, establishing the palms, eucalyptus and ornamental vegetation that gave the divided avenue its distinctive park-like character. Extending for miles through former citrus lands, Victoria Avenue embodies Riverside’s citrus-era development, landscape planning and civic identity."
9,"San Pedro, Los Angeles & Salt Lake Railroad Depot (Union Pacific Depot)","Built in 1904 for the San Pedro, Los Angeles & Salt Lake Railroad, this Mission Revival depot reflects the importance of rail transportation to Riverside’s early twentieth-century growth and citrus economy. The railroad became part of the Union Pacific system in 1921, and the depot remained in passenger service until 1971. Its broad arches, stucco walls and tile roof made the building a prominent architectural gateway to the city."
10,Fairmount Park Bandshell,"Designed by architect Arthur B. Benton and completed in 1920, the Fairmount Park Bandshell was created as a permanent setting for Riverside’s popular public concerts. Its Mission-inspired tile roof and fieldstone construction harmonize with the park landscape and with Benton’s other Riverside work. The bandshell was dedicated before an audience of approximately 6,000 on September 26, 1920, and became an enduring center of civic entertainment in Fairmount Park."
11,Former U.S. Post Office and Federal Building (Museum of Riverside),"Built between 1912 and 1914 as Riverside’s U.S. Post Office and federal building, this Italian Renaissance Revival structure later housed the Riverside Police Department before becoming the permanent home of the city museum. The Museum gradually expanded from space in the basement to occupy the entire building by 1966. Its substantial civic architecture reflects Riverside’s growth and importance as a regional center in the early twentieth century."
12,S. C. Evans Residence,"Built about 1874 for Samuel C. Evans, president of the Riverside Land and Irrigating Company, this early adobe residence is attributed to architect W. R. Norton. Constructed largely from local natural materials, the house is a rare survivor of Riverside’s first years of development and represents a building tradition that largely disappeared as the young colony prospered and more permanent frame and masonry residences replaced adobe construction."
13,“Castillo Isabella” Benedict Castle (Teen Challenge),"Designed by Riverside architect Henry L. A. Jekel for Charles W. Benedict, this imposing residence was constructed in stages between 1921 and 1931. Jekel combined Spanish and Mediterranean forms with pronounced Moorish influences, creating one of Riverside’s most distinctive examples of romantic revival architecture. Conceived as a luxurious private residence, the castle later became associated with Teen Challenge and remains one of Jekel’s best-known works."
14,Buena Vista Drive & Former St. Francis Fountain Gateway (Carlson Bark Park),"This linear landmark preserves remnants of Riverside’s historic western gateway along the former approach to the Santa Ana River bridge at the foot of Mount Rubidoux. Surviving features include the Mission Revival bridge towers, Raincross streetlights and balustrades, stone retaining walls and walkways, Buena Vista Bridge, Carlson Park and the remains of the St. Francis water feature. Together they reflect several decades of civic improvement and the deliberate creation of a picturesque entrance to Riverside."
15,Parent Navel Orange Tree,"One of the original Washington navel orange trees sent to Riverside in 1873, this tree helped launch the citrus industry that transformed the city and much of Southern California. Eliza and Luther Tibbets successfully cultivated the new variety, whose seedless, easily peeled fruit proved exceptionally well suited to the region. Budwood from their trees was widely propagated, making Riverside the center of a vast commercial citrus industry. The surviving tree is both Riverside City Landmark No. 15 and California Historical Landmark No. 20."
16,Former Sherman Institute Administration Building (Sherman Indian Museum),"Built in 1901 as the administration building of the Sherman Institute, this Mission Revival structure is the principal surviving building from the school’s original campus of more than thirty buildings. The federal boarding school was established to educate Native American students from California and throughout the West as part of a national assimilation program that sought to separate Indigenous children from their languages, families and cultures. Today the building houses the Sherman Indian Museum and documents the history and experiences of the school and its students."
17,Soldiers’ Memorial & Municipal Auditorium Building (Riverside Municipal Auditorium),"Dedicated in 1929 as a memorial to Riverside residents who died in World War I, the Municipal Auditorium was designed as a major civic gathering place for the growing city. Its architecture combines Mission Revival and Moorish influences and includes a large auditorium, arcaded passages and landscaped grounds. Now known as the Riverside Municipal Auditorium, the building has hosted public ceremonies, concerts, performances and community events for nearly a century."
18,Riverside Art Museum — Former YWCA,"Designed by architect Julia Morgan and completed in 1929 for Riverside’s Young Women’s Christian Association, this Spanish Colonial Revival building originally provided meeting rooms, recreation facilities and an indoor swimming pool for women and girls. The Riverside Art Association acquired the building in the 1960s and adapted it as the Riverside Art Museum. It is significant both for its civic and social history and as one of Riverside’s important works by a nationally prominent architect."
19,Riverside Chinatown Site,"Riverside’s principal Chinatown developed here beginning in 1885 after Chinese residents and businesses relocated from an earlier settlement near downtown. The community included stores, residences, boarding houses, a temple and other buildings centered along a street historically known as Mongol Street. Although its last surviving building was demolished in 1978, archaeological investigations beginning in the 1980s demonstrated the site’s exceptional ability to document Chinese immigrant life and the indispensable role Chinese workers played in Riverside’s early agricultural and commercial development."
20,Fred Stebler House,"Built in 1911 for inventor and manufacturer Fred Stebler, this Craftsman-era residence was designed by H. L. Evans. Stebler was a pioneer in the development of machinery for grading, cleaning and packing citrus fruit, helping mechanize an industry central to Riverside’s economy. The house, where Stebler lived until his death in 1957, is notable both for its architecture and for its association with one of Riverside’s important agricultural inventors."
21,Loring Building,"Completed in 1890, the Loring Building was designed by A. C. Willard in the Richardsonian Romanesque style as part of a complex that included the adjoining Loring Opera House. For its first decades it housed Riverside’s City Hall, municipal courts and public library as well as commercial tenants. The exterior was remodeled in 1918 to harmonize with the Mission Revival character developing around the Mission Inn. The adjoining opera house was destroyed by fire in 1990."
22,New Jerusalem Church,"Dedicated on Easter Sunday, April 17, 1904, the New Jerusalem Church is a distinctive late example of Classical Revival church architecture enriched with Gothic elements. Its temple-like façade reflects the architectural eclecticism of turn-of-the-century Riverside. The church was completed during the long ministry of the Rev. Berry Edmiston, who served its congregation from 1885 to 1911."
